jdk::String::equals
apache::MutableInt::subtract [0.8451895003428828]
apache::FastDatePrinter::TimeZoneNameRule [0.8393888442824153]
apache::MutableByte::doubleValue [0.8370661712852506]
apache::TimeZoneNameRule::TimeZoneNameRule [0.8322311948151061]
apache::MutableLong::doubleValue [0.8234677042771557]
apache::CharSequenceReader::CharSequenceReader [0.8188790013811721]
apache::MutableShort::shortValue [0.8164152339544628]
apache::MultipartKey::MultipartKey [0.8148155028577749]
apache::BlockFieldMatrix::setColumnMatrix [0.8147299045975493]
apache::CredentialsProvider::getCredentials [0.8138357833424772]

jdk::StringBuffer::append
apache::StringBuilderWriter::append [0.7779778961800027]
apache::ToStringStyle::appendContentEnd [0.7660183208479804]
apache::StrMatcher::CharSetMatcher [0.7586376641928287]
apache::StrBuilder::appendTo [0.7470407761577037]
apache::FixedOrderComparator::equals [0.7456144649124116]
apache::AbstractFormat::format [0.7455870467638376]
apache::HashCodeBuilder::append [0.7440482201667821]
apache::StrBuilder::equals [0.7366906260625706]
apache::DateFormat::format [0.7362988001847209]
apache::InputStreamRequestEntity::InputStreamRequestEntity [0.7342482274533467]

jdk::StringBuilder::append
apache::CharRange::isNotIn [0.8663015639248348]
apache::ExtendedMessageFormat::next [0.8596369928398447]
apache::TriangularDistribution::density [0.8458650676678391]
apache::MutableLong::subtract [0.8458221299837756]
apache::PSquarePercentile::incrementPosition [0.845523160110541]
apache::AbstractMapMultiSet::isEmpty [0.8447582664534217]
apache::CodeValidator::getMaxLength [0.844216131382754]
apache::Conversion::longToShortArray [0.8437260124662114]
apache::OpenMapRealVector::append [0.8432551830840289]
apache::MutableByte::intValue [0.8423571615985593]

jdk::PrintStream::println
apache::ChunkedInputStream::readCRLF [0.778122305265845]
apache::FastMathCalc::printarray [0.7633668005274045]
apache::CodePointTranslator::translate [0.7597021311402744]
apache::ProxyOutputStream::flush [0.7589605566700977]
apache::SwappedDataInputStream::readFloat [0.7568960952413339]
apache::StringUtils::appendIfMissing [0.7520488471462667]
apache::NullWriter::append [0.7479852463791179]
apache::EndianUtils::readSwappedFloat [0.7380214743972128]
apache::CharSequenceTranslator::CharSequenceTranslator [0.7353852897319594]
apache::ProxyWriter::flush [0.7274993689995712]

jdk::String::length
apache::MultivariateNormalMixtureExpectationMaximization::hashCode [0.9841957154157123]
apache::ResultSet::getFetchDirection [0.9841575850133455]
apache::BlockFieldMatrix::preMultiply [0.984070790934874]
apache::BlockFieldMatrix::setEntry [0.9838178811185547]
apache::Tan::value [0.9830731191708372]
